96408 20150820 0000 20150819 1500  2.515 -150.87   63.45 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0    258 3    859 3    160 3 C     9.4 3    12.7 3     0.0 3 -9999 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 0100 20150819 1600  2.515 -150.87   63.45 -9999.0 -9999.0 -9999.0 -9999.0     0.0    271 3    301 3    240 3 C     0.3 3     7.4 3     0.0 3 -9999 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 0200 20150819 1700  2.515 -150.87   63.45 -9999.0 -9999.0 -9999.0 -9999.0     0.0    312 3    752 3    129 3 C    11.7 3    15.7 3     7.4 3 -9999 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 0300 20150819 1800  2.515 -150.87   63.45     8.6     8.5     8.9     8.0     0.0    204 0    584 0    140 0 C    11.4 0    13.7 0    10.2 0    76 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 0400 20150819 1900  2.515 -150.87   63.45     8.2     8.7     9.3     8.2     0.0    202 0    359 0    129 0 C    11.1 0    12.7 0     9.9 0    72 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 0500 20150819 2000  2.515 -150.87   63.45     7.2     7.6     8.2     7.2     0.0     86 0    162 0     28 0 C     8.3 0    10.5 0     7.4 0    77 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 0600 20150819 2100  2.515 -150.87   63.45     7.3     7.2     7.3     7.1     0.0      6 0     29 0      0 0 C     6.7 0     7.4 0     6.3 0    78 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 0700 20150819 2200  2.515 -150.87   63.45     6.6     6.6     7.3     6.4     0.0      0 0      0 0      0 0 C     5.8 0     6.3 0     5.2 0    84 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 0800 20150819 2300  2.515 -150.87   63.45     6.1     6.2     6.6     5.9     0.0      0 0      0 0      0 0 C     4.8 0     5.2 0     4.5 0    87 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 0900 20150820 0000  2.515 -150.87   63.45     5.9     5.9     6.6     5.3     0.0      0 0      0 0      0 0 C     3.3 0     4.5 0     2.2 0    87 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 1000 20150820 0100  2.515 -150.87   63.45     5.8     5.4     6.0     5.0     0.0      0 0      0 0      0 0 C     3.0 0     4.2 0     2.5 0    88 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 1100 20150820 0200  2.515 -150.87   63.45     5.7     5.7     5.9     5.6     0.0      0 0      0 0      0 0 C     4.3 0     4.4 0     4.2 0    88 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 1200 20150820 0300  2.515 -150.87   63.45     5.5     5.5     5.8     5.1     0.0      0 0      0 0      0 0 C     4.0 0     4.2 0     3.6 0    88 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
96408 20150820 1300 20150820 0400  2.515 -150.87   63.45     5.4     5.6     6.0     5.4     0.0      0 0      0 0      0 0 C     3.5 0     3.7 0     3.4 0    87 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
