21514 20240101 0100 20231231 1500  2.424 -155.58   19.54    11.9    12.2    13.0    11.8     0.0    654 0    716 0    577 0 C    28.6 0    30.2 0    26.8 0    37 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 0200 20231231 1600  2.424 -155.58   19.54    10.8    11.8    12.8    10.7     0.0    482 0    578 0    381 0 C    24.9 0    26.8 0    21.8 0    42 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 0300 20231231 1700  2.424 -155.58   19.54    11.6    11.1    11.7    10.4     0.0    269 0    382 0    157 0 C    19.5 0    21.8 0    16.3 0    44 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 0400 20231231 1800  2.424 -155.58   19.54    10.3    10.5    11.6     9.9     0.0     55 0    157 0      0 0 C    12.2 0    16.3 0     7.9 0    33 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 0500 20231231 1900  2.424 -155.58   19.54     9.3     9.8    10.3     9.2     0.0      0 0      0 0      0 0 C     5.8 0     7.9 0     3.8 0    35 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 0600 20231231 2000  2.424 -155.58   19.54     9.1     8.8     9.3     8.1     0.0      0 0      0 0      0 0 C     3.2 0     3.8 0     2.6 0    23 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 0700 20231231 2100  2.424 -155.58   19.54     8.1     8.9     9.5     8.1     0.0      0 0      0 0      0 0 C     3.6 0     4.3 0     2.4 0     8 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 0800 20231231 2200  2.424 -155.58   19.54     8.3     8.2     8.6     7.9     0.0      0 0      0 0      0 0 C     2.4 0     2.9 0     1.4 0     9 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 0900 20231231 2300  2.424 -155.58   19.54     8.6     8.2     8.7     7.7     0.0      0 0      0 0      0 0 C     1.8 0     2.7 0     1.1 0     7 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 1000 20240101 0000  2.424 -155.58   19.54     8.0     8.3     8.8     7.9     0.0      0 0      0 0      0 0 C     2.9 0     3.2 0     2.7 0     6 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 1100 20240101 0100  2.424 -155.58   19.54     7.9     8.2     8.8     7.6     0.0      0 0      0 0      0 0 C     2.7 0     3.1 0     2.2 0     6 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 1200 20240101 0200  2.424 -155.58   19.54     6.1     7.0     8.0     6.0     0.0      0 0      0 0      0 0 C     1.2 0     2.2 0    -0.1 0     9 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 1300 20240101 0300  2.424 -155.58   19.54     5.0     5.6     6.6     4.3     0.0      0 0      0 0      0 0 C    -0.8 0    -0.1 0    -1.3 0    15 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20240101 1400 20240101 0400  2.424 -155.58   19.54     7.0     5.7     7.0     4.3     0.0      0 0      0 0      0 0 C    -0.8 0     1.0 0    -1.5 0    11 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
